species,Guild,source
Hydriomena furcata,Moths,original
Ochlodes venata,Butterflies,original
Idaea fuscovenosa,Moths,original
Jordanita subsolana,Moths,original
Furcula bifida,Moths,original
Atherix ibis,Other Flies,original
Harpella forficella,Moths,original
Megachile pilidens,Wild Bees,original
Axylia putris,Moths,original
Scaeva selenitica,Hoverflies,original
Polygonia egea,Butterflies,original
Rhodometra sacraria,Moths,original
Tachina fera,Other Flies,original
Lycaena alciphron,Butterflies,original
Ceratina cucurbitina,Wild Bees,original
Athetis pallustris,Moths,original
Idaea seriata,Moths,original
Tyta luctuosa,Moths,original
Opisthograptis luteolata,Moths,original
Leptothorax acervorum,Ants,original
Urocerus gigas,Sawflies,original
Gnophos obfuscata,Moths,original
Eurranthis plummistaria,Moths,original
Wittia sororcula,Moths,original
Carcharodus floccifera,Butterflies,original
Cerastis rubricosa,Moths,original
Vespula germanica,Social Wasps,original
Callimorpha dominula,Moths,original
Hyles euphorbiae,Moths,original
Brenthis daphne,Butterflies,original
Callophrys avis,Butterflies,original
Lycaeides argyrognomon,Butterflies,original
Agrius convolvuli,Moths,original
Parnassius sacerdos,Butterflies,original
Jordanita globulariae,Moths,original
Hipparchia hermione,Butterflies,original
Homoeosoma sinuella,Moths,original
Watsonalla uncinula,Moths,original
Abrostola tripartita,Moths,original
Pyronia cecilia,Butterflies,original
Eristalinus taeniops,Hoverflies,original
Zygaena filipendulae,Moths,original
Ochropacha duplaris,Moths,original
Andrena minutuloides,Wild Bees,original
Cleora cinctaria,Moths,original
Minucia lunaris,Moths,original
Papilio machaon,Butterflies,original
Scopula nigropunctata,Moths,original
Autographa aemula,Moths,original
Aglia tau,Moths,original
Xylocopa violacea,Wild Bees,original
Selenia tetralunaria,Moths,original
Oligia latruncula,Moths,original
Calamia tridens,Moths,original
Thera obeliscata,Moths,original
Entephria caesiata,Moths,original
Hadena caesia,Moths,original
Lasioglossum morio,Wild Bees,original
Marumba quercus,Moths,original
Formica lugubris,Ants,original
Megachile sculpturalis,Wild Bees,original
Lygephila craccae,Moths,original
Nudaria mundana,Moths,original
Cymbalophora pudica,Moths,original
Xanthorhoe montanata,Moths,original
Euplagia quadripunctaria,Moths,original
Hoplitis ravouxi,Wild Bees,original
Hemistola chrysoprasaria,Moths,original
Lasioglossum laticeps,Wild Bees,original
Eucera nigrescens,Wild Bees,original
Perizoma verberata,Moths,original
Mesoligia furuncula,Moths,original
Thera britannica,Moths,original
Catocala optata,Moths,original
Lygephila pastinum,Moths,original
Iolana iolas,Butterflies,original
Nymphalis polychloros,Butterflies,original
Tetramorium alpestre,Ants,original
Apamea illyria,Moths,original
Eupithecia abbreviata,Moths,original
Agrotis simplonia,Moths,original
Dolicharthria punctalis,Moths,original
Adscita geryon,Moths,original
Leptothorax unifasciatus,Ants,original
Cleonymia yvanii,Moths,original
Indalia lutarella,Moths,original
Chrysotoxum cautum,Hoverflies,original
Polistes biglumis,Social Wasps,original
Eugnorisma depuncta,Moths,original
Aplocera plagiata,Moths,original
Callistege mi,Moths,original
Zerynthia polyxena,Butterflies,original
Chersotis cuprea,Moths,original
Odezia atrata,Moths,original
Zygaena fausta,Moths,original
Lasioglossum leucopus,Wild Bees,original
Zygaena romeo,Moths,original
Erynnis tages,Butterflies,original
Lithophane ornitopus,Moths,original
Udea uliginosalis,Moths,original
Amphipyra pyramidea,Moths,original
Auchmis detersa,Moths,original
Formica rufibarbis,Ants,original
Platytes alpinella,Moths,original
Andrena bicolor,Wild Bees,original
Tenthredo crassa,Sawflies,original
Comibaena bajularia,Moths,original
Odonestis pruni,Moths,original
Thaumetopoea pityocampa,Moths,original
Agapeta hamana,Moths,original
Phalera bucephala,Moths,original
Selenia dentaria,Moths,original
Pyrausta cingulata,Moths,original
Euphydryas aurinia,Butterflies,original
Laspeyria flexula,Moths,original
Oligia strigilis,Moths,original
Gnophos furvata,Moths,original
Eupithecia venosata,Moths,original
Tipula maxima,Other Flies,original
Papestra biren,Moths,original
Aricia montensis,Butterflies,original
Lamprosticta culta,Moths,original
Apoda limacodes,Moths,original
Syrphus vitripennis,Hoverflies,original
Malacosoma castrensis,Moths,original
Watsonalla binaria,Moths,original
Crocota tinctaria,Moths,original
Plebicula escheri,Butterflies,original
Bryophila domestica,Moths,original
Lycophotia porphyrea,Moths,original
Epilobophora sabinata,Moths,original
Pheidole pallidula,Ants,original
Pyrausta despicata,Moths,original
Bombus sylvarum,Bumblebees,original
